Community Title,MinPrice,MaxPrice,NRooms,NBath,sqft,Accessbility Score,Property Price,"city_Berkeley, CA ","city_Campbell, CA ","city_Cupertino, CA ","city_Dublin, CA ","city_Emeryville, CA ","city_Foster City, CA ","city_Fremont, CA ","city_Hayward, CA ","city_Lafayette, CA ","city_Menlo Park, CA ","city_Milpitas, CA ","city_Mountain View, CA ","city_Newark, CA ","city_Oakland, CA ","city_Pleasanton, CA ","city_Redwood City, CA ","city_Richmond, CA ","city_San Francisco, CA ","city_San Jose, CA ","city_San Mateo, CA ","city_San Rafael, CA ","city_San Ramon, CA ","city_Santa Clara, CA ","city_Santa Cruz, CA ","city_Sunnyvale, CA ","city_Tiburon, CA ","city_Union City, CA ","city_Walnut Creek, CA "
Bel Air,2027,3231,0,1.0,436,14,2027.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,1,1.0,712,14,2248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,1,1.0,702,14,2313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,2,2.0,900,14,2749.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,2,2.0,1093,14,3051.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,1,1.0,770,14,2629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,1,1.0,845,14,2629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,2,2.0,1004,14,2629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,2,2.0,1067,14,2629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bel Air,2027,3231,2,2.0,1114,14,2629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,1,1.0,775,32,2233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,1,1.0,890,32,2308.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,2,2.0,1052,32,2729.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,2,2.0,1088,32,2754.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,2,2.0,1160,32,2999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,2,2.0,1128,32,2616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,2,2.0,1157,32,2616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canyon Oaks at Windemere,2233,2999,3,2.0,1315,32,2616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,1,1.0,775,41,2063.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,1,1.0,890,41,2198.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,2,2.0,1052,41,2849.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,2,2.0,1160,41,2999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,2,2.0,1088,41,3124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,2,2.0,1128,41,2683.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,2,2.0,1157,41,2683.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mill Creek at Windemere,2063,3304,3,2.0,1315,41,2683.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Deer Valley,2481,4429,1,1.0,706,54,2481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
