Community Title,Price,Bedrooms,Address,Top 1 Amenity,Top 2 Amenity,Top 3 Amenity,Offer
Bel Air,"$2,027-$3,326","| STUDIO, 1, 2 BEDROOMS","Bel Air Apartments
2000 Shoreline Drive
San Ramon, CA 94582",Pet-washing station,Fitness center,Clubroom,Up to 6 Weeks FREE!*
Canyon Oaks at Windemere,"$2,233-$2,999","| 1, 2, 3 BEDROOMS","Canyon Oaks at Windemere Apartments
1 Amberstone Ln
San Ramon, CA 94582",Fitness center,Swimming pool,Smart home technology,Up to 2 Weeks FREE!*
Via,"$2,799-$3,799","| 1, 2 BEDROOMS","Via Apartments
621 Tasman Dr
Sunnyvale, CA 94089",Fitness center,Swimming pool,Clubhouse,Up to 2 Weeks FREE!*
Mill Creek at Windemere,"$2,133-$3,304","| 1, 2, 3 BEDROOMS","Mill Creek at Windemere Apartments
2100 Waterstone Pl
San Ramon, CA 94582",Fitness center,Swimming pool,Spa,Up to 3 Weeks FREE!*
Lakeshore Landing,"$2,614-$3,509","| 1, 2 BEDROOMS","Lakeshore Landing Apartments
2717 South Norfolk Street
San Mateo, CA 94403",Fitness center,Swimming pool,Outdoor fireplace,Up to 1 Week FREE!*
Hillsdale Garden,"$2,049-$3,829","| STUDIO, 1, 2, 3 BEDROOMS","Hillsdale Garden Apartments
3500 Edison St
San Mateo, CA 94403",Fitness center,Swimming pool,Dog park,Up to 1 Week FREE!*
The Montclaire,"$2,244-$3,304","| STUDIO, 1, 2 BEDROOMS","The Montclaire Apartments
450 N Mathilda Ave
Sunnyvale, CA 94085",Fitness center,Swimming pool,Clubhouse,Up to 2 Weeks FREE!*
Summerhill Park,"$2,824-$3,429","| 1, 2 BEDROOMS","Summerhill Park Apartments
972 Corte Madera Ave
Sunnyvale, CA 94085",Fitness center,Swimming pool,Clubhouse,Up to 2 Weeks FREE!*
Patina at Midtown,"$2,249-$3,019","| STUDIO, 1, 2 BEDROOMS","Patina at Midtown Apartments
355 Sunol St
San Jose, CA 95126",Fitness center,Swimming pool,Rooftop terrace,Up to 1 Month FREE!*
360 Residences,"$2,699-$8,347","| 1, 2, 3 BEDROOMS","360 Residences Apartments
360 S Market Street
San Jose, CA 95113",Fitness center,Swimming pool,Clubroom,Up to 6 Weeks FREE!*
Township,"$2,969-$3,119","| 1, 2 BEDROOMS","Township Apartments
333 Main St
Redwood City, CA 94063",BBQ area,Fitness center,Clubroom,Up to 2 Weeks FREE!*
101 San Fernando,"$2,049-$3,609","| STUDIO, 1, 2, 3 BEDROOMS","101 San Fernando Apartments
101 E San Fernando St Ste 100
San Jose, CA 95112",Smart home technology,Fitness center,Ultrafast Internet connectivity,Up to 1 Month FREE!*
Silver,"$2,099-$3,134","| STUDIO, 1, 2 BEDROOMS","Silver Apartments
333 Sunol Street
San Jose, CA 95126",Clubhouse,Fitness center,Swimming pool,Up to 2 Weeks FREE!*
Century Towers,"$2,479-$3,904","| 1, 2 BEDROOMS","Century Towers Apartments
1729 N. First Street
San Jose, CA 95112",Fitness center,Swimming pool,Rooftop terrace,Up to 3 Weeks FREE!*
Palma Sorrento at Palm Valley,"$2,519-$3,309","| 1, 2, 3 BEDROOMS","Palma Sorrento at Palm Valley Apartments
250 Palm Valley Blvd
San Jose, CA 95123",Fitness center,Swimming pool,Spa,Up to 3 Weeks FREE!*
500 Folsom,"$2,694-$6,159","| STUDIO, 1, 2 BEDROOMS","500 Folsom Apartments
500 Folsom St.
San Francisco, CA 94105",Fitness center,Rooftop terrace,Clubhouse,Up to 1 Month FREE!*
MB360,"$2,599-$4,414","| STUDIO, 1, 2 BEDROOMS","MB360 Apartments
1200 4th Street
San Francisco, CA 94158",Swimming pool,Fitness center,Clubhouse,Up to 3 Weeks FREE!*
San Marcos,"$2,333-$3,039","| 1, 2 BEDROOMS","San Marcos Apartments
2601 Hilltop Dr
Richmond, CA 94806",Fitness center,Swimming pool,Pet friendly,Up to 3 Weeks FREE!*
Villa Granada,"$2,699-$3,684","| 1, 2 BEDROOMS","Villa Granada Apartments
3595 Granada Avenue
Santa Clara, CA 95051",Fitness center,Swimming pool,Clubhouse,Up to 1 Month FREE!*
Marina Cove,"$2,629-$3,374","| 1, 2 BEDROOMS","Marina Cove Apartments
3480 Granada Ave
Santa Clara, CA 95051",Swimming pool,Fitness center,Clubhouse,Up to 2 Weeks FREE!*
City Centre,"$2,279-$3,699","| STUDIO, 1, 2, 3 BEDROOMS","City Centre Apartments
22800 Meridian Drive
Hayward, CA 94541",Fitness center,Swimming pool,Resident lounge,Up to 5 Weeks FREE!*
City View,"$1,749-$2,800","| STUDIO, 1, 2 BEDROOMS","City View Apartments
25200 Carlos Bee Blvd.
Hayward, CA 94542",Swimming pool,Fitness center,Tennis court,Get A Gift Card Up to $500!*
The Commons,"$2,114-$2,999","| STUDIO, 1, 2 BEDROOMS","The Commons Apartments
275 Union Ave
Campbell, CA 95008",Dog park,Swimming pool,Fitness center,Up to 2 Weeks FREE!*
The Woods,"$1,899-$2,845","| STUDIO, 1, 2 BEDROOMS","The Woods Apartments
40640 High St
Fremont, CA 94538",Fitness center,Swimming pool,Ultrafast Internet connectivity,Up to 5 Weeks FREE!*
Mission Peaks II,"$2,359-$3,089","| 1, 2 BEDROOMS","Mission Peaks II Apartments
39451 Gallaudet Drive
Fremont, CA 94538",Swimming pool,Fitness center,Ultrafast Internet connectivity,Up to 2 Weeks FREE!*
Paragon,"$2,474-$3,469","| 1, 2 BEDROOMS","Paragon Apartments
3700 Beacon Avenue
Fremont, CA 94538",Fitness center,Swimming pool,Ultrafast Internet connectivity,Up to 3 Weeks FREE!*
Avenue 64,"$2,246-$4,098","| STUDIO, 1, 2, 3 BEDROOMS","Avenue 64 Apartments
6399 Christie Avenue
Emeryville, CA 94608",Clubhouse,Swimming pool,Fitness center,Up to 2 Weeks FREE!*
The Courtyards at 65th Street,"$2,435-$3,273","| 1, 2 BEDROOMS","The Courtyards at 65th Street Apartments
1465 65th St
Emeryville, CA 94608",Fitness center,Swimming pool,Clubhouse,Up to 2 Weeks FREE!*
Emme,"$2,038-$4,179","| STUDIO, 1, 2, 3 BEDROOMS","Emme Apartments
6350 Christie Ave
Emeryville, CA 94608",Swimming pool,Fitness center,Rooftop terrace,Up to 6 Weeks FREE!*
Fourth & U,"$2,139-$3,269","| 1, 2 BEDROOMS","Fourth & U Apartments
2020 Fourth St
Berkeley, CA 94710",Clubhouse,Fitness center,Ultrafast Internet connectivity,Up to 5 Weeks FREE!*
Belmont Terrace,"$2,809-$4,604","| 1, 2, 3 BEDROOMS","Belmont Terrace Apartments
1060 Continentals Way
Belmont, CA 94002",Smart home technology,Fitness center,Swimming pool,Up to 1 Week FREE!*
The Grand,"$2,069-$3,943","| STUDIO, 1, 2, 3 BEDROOMS","The Grand Apartments
100 Grand Ave
Oakland, CA 94612",Rooftop terrace,Fitness center,Spa,Up to 6 Weeks FREE!*
The Landing at Jack London Square,"$2,009-$3,349","| STUDIO, 1, 2 BEDROOMS","The Landing at Jack London Square Apartments
101 Embarcadero West
Oakland, CA 94607",Fitness center,Swimming pool,Ultrafast Internet connectivity,"Up to $5,770 in Savings!*"
Vista Belvedere,"Starting from $4,087","| 1, 2 BEDROOMS","Vista Belvedere Apartments
65 Red Hill Cir
Tiburon, CA 94920",Swimming pool,Great views,Smart home technology,NA
Bristol Commons,"$2,639-$3,659","| 1, 2 BEDROOMS","Bristol Commons Apartments
732 E. Evelyn Ave
Sunnyvale, CA 94086",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
Brookside Oaks,"$2,624-$3,249","| STUDIO, 1, 2 BEDROOMS","Brookside Oaks Apartments
1651 Belleville Way
Sunnyvale, CA 94087",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
Crow Canyon,"$2,449-$3,723","| 1, 2, 3 BEDROOMS","Crow Canyon Apartments
1700 Promontory Lane
San Ramon, CA 94583",Clubhouse,Fitness center,Swimming pool,NA
Windsor Ridge,"$2,649-$3,299","| 1, 2 BEDROOMS","Windsor Ridge Apartments
829 E Evelyn Ave
Sunnyvale, CA 94086",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
Foothill - Twin Creeks Condos,"$2,924-$3,009",| 2 BEDROOMS,"Foothill - Twin Creek Condos Apartments
1110 Harness Dr
San Ramon, CA 94583",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
Deer Valley,"$2,481-$3,323","| 1, 2, 3 BEDROOMS","Deer Valley Apartments
2500 Deer Valley Road
San Rafael, CA 94903",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
Lawrence Station,"$2,849-$3,544","| 1, 2 BEDROOMS","Lawrence Station Apartments
1271 Lawrence Station Road
Sunnyvale, CA 94089",Fitness center,Swimming pool,Clubhouse,NA
Magnolia Square,"$2,849-$3,433","| 1, 2, 3 BEDROOMS","Magnolia Square Apartments
107 S Mary Ave
Sunnyvale, CA 94086",Fitness center,Swimming pool,Dog park,NA
Station Park Green,"$2,667-$4,249","| STUDIO, 1, 2, 3 BEDROOMS","Station Park Green Apartments
430 Station Park Circle, Suite 100.
San Mateo, CA 94402",Smart home technology,Swimming pool,Fitness center,NA
Solstice,"$2,894-$4,624","| STUDIO, 1, 2 BEDROOMS","Solstice Apartments
299 W. Washington Avenue
Sunnyvale, CA 94086",Fitness center,Swimming pool,Clubhouse,NA
