community_title_2,Price_2,Bedrooms_2,Address_2,Top 1 Amenity_2,Top 2 Amenity_2,Top 3 Amenity_2,Offer_2
LIVIA at Scripps Ranch,"$2,949-$4,409","| 1, 2, 3 BEDROOMS","LIVIA at Scripps Ranch Apartments
10380 Spring Canyon Road
San Diego, CA 92131",Clubroom,Golf simulator,Swimming pool,FINAL CLOSEOUT
Esplanade,"$2,194-$2,860","| 1, 2 BEDROOMS","Esplanade Apartments
10201 Camino Ruiz #181
San Diego, CA 92126",Smart home technology,Swimming pool,Ultrafast Internet connectivity,Up to 1 Week FREE!*
Mesa Village,"$1,619-$1,770",| STUDIO,"Mesa Village Apartments
5265 Clairemont Mesa Blvd
San Diego, CA 92117",Smart home technology,Swimming pool,Ultrafast Internet connectivity,Up to 1 Month FREE!*
Mira Monte,"$1,909-$2,589","| STUDIO, 1, 2, 3 BEDROOMS","Mira Monte Apartments
10360 Maya Linda Rd
San Diego, CA 92126",Fitness center,Swimming pool,Ultrafast Internet connectivity,Up to 1 Month FREE!*
Fountain Park at Playa Vista,"$2,794-$4,449","| STUDIO, 1, 2, 3 BEDROOMS","Fountain Park at Playa Vista Apartments
13141 Fountain Park Dr
Playa Vista, CA 90094",Swimming pool,Fitness center,Resident lounge,Up to 1 Week FREE!*
Essex Skyline at MacArthur Place,"$3,914-$7,444","| 1, 2, 3 BEDROOMS","Essex Skyline at MacArthur Place Apartments
15 MacArthur Pl
Santa Ana, CA 92707",Fitness center,Swimming pool,Clubhouse,Up to 1 Month FREE!*
Avant,"$1,711-$2,822","| STUDIO, 1, 2 BEDROOMS","Avant Apartments
1420 S. Figueroa St
Los Angeles, CA 90015",Swimming pool,Fitness center,BBQ area,Up to 6 Weeks FREE!*
Park Catalina,"$1,744-$2,436","| STUDIO, 1, 2 BEDROOMS","Park Catalina Apartments
690 S. Catalina Street
Los Angeles, CA 90005",Fitness center,Pet friendly,Ultrafast Internet connectivity,Up to 2 Weeks FREE!*
Pacific Electric Lofts,"$1,724-$5,614",| STUDIO,"Pacific Electric Lofts Apartments
610 S. Main Street
Los Angeles, CA 90014",Fitness center,Swimming pool,Clubroom,Limited-Time Offer*
Santee Court,"$1,811-$5,965","| STUDIO, 1, 2 BEDROOMS","Santee Court Apartments
716 S Los Angeles St Ste B
Los Angeles, CA 90014",Smart home technology,Fitness center,Rooftop terrace,Up to 3 Weeks FREE!*
