community_title,price,city,floor_details,price_details,score
Bel Air,"['$2,027-$3,231']","Bel Air Apartments
2000 Shoreline Drive
San Ramon, CA 94582","['Studio / 1 Bath\n436 sq. ft.', '1 Beds / 1 Bath\n712 sq. ft.', '1 Beds / 1 Bath\n702 sq. ft.', '2 Beds / 2 Bath\n900 sq. ft.', '2 Beds / 2 Bath\n1,093 sq. ft.', '1 Beds / 1 Bath\n770 sq. ft.', '1 Beds / 1 Bath\n845 sq. ft.', '2 Beds / 2 Bath\n1,004 sq. ft.', '2 Beds / 2 Bath\n1,067 sq. ft.', '2 Beds / 2 Bath\n1,114 sq. ft.']","['Starting from $2,027', 'Starting from $2,248', 'Starting from $2,313', 'Starting from $2,749', 'Starting from $3,051', '', '', '', '', '']","14%
Walk Score"
Canyon Oaks at Windemere,"['$2,233-$2,999']","Canyon Oaks at Windemere Apartments
1 Amberstone Ln
San Ramon, CA 94582","['1 Beds / 1 Bath\n775 sq. ft.', '1 Beds / 1 Bath\n890 sq. ft.', '2 Beds / 2 Bath\n1,052 sq. ft.', '2 Beds / 2 Bath\n1,088 sq. ft.', '2 Beds / 2 Bath\n1,160 sq. ft.', '2 Beds / 2 Bath\n1,128 sq. ft.', '2 Beds / 2 Bath\n1,157 sq. ft.', '3 Beds / 2 Bath\n1,315 sq. ft.']","['Starting from $2,233', 'Starting from $2,308', 'Starting from $2,729', 'Starting from $2,754', 'Starting from $2,999', '', '', '']","32%
Walk Score"
Mill Creek at Windemere,"['$2,063-$3,304']","Mill Creek at Windemere Apartments
2100 Waterstone Pl
San Ramon, CA 94582","['1 Beds / 1 Bath\n775 sq. ft.', '1 Beds / 1 Bath\n890 sq. ft.', '2 Beds / 2 Bath\n1,052 sq. ft.', '2 Beds / 2 Bath\n1,160 sq. ft.', '2 Beds / 2 Bath\n1,088 sq. ft.', '2 Beds / 2 Bath\n1,128 sq. ft.', '2 Beds / 2 Bath\n1,157 sq. ft.', '3 Beds / 2 Bath\n1,315 sq. ft.']","['Starting from $2,063', 'Starting from $2,198', 'Starting from $2,849', 'Starting from $2,999', 'Starting from $3,124', '', '', '']","41%
Walk Score"
Deer Valley,"['$2,481-$4,429']","Deer Valley Apartments
2500 Deer Valley Road
San Rafael, CA 94903","['1 Beds / 1 Bath\n706 sq. ft.', '2 Beds / 1 Bath\n848 sq. ft.', '2 Beds / 2 Bath\n981 sq. ft.', '3 Beds / 2 Bath\n1,322 sq. ft.', '1 Beds / 1 Bath\n748 sq. ft.', '1 Beds / 1 Bath\n816 sq. ft.', '2 Beds / 2 Bath\n1,124 sq. ft.', '3 Beds / 2 Bath\n1,159 sq. ft.']","['Starting from $2,481', 'Starting from $3,183', 'Starting from $3,193', 'Starting from $4,429', '', '', '', '']","54%
Walk Score"
Lakeshore Landing,"['$2,574-$2,944']","Lakeshore Landing Apartments
2717 South Norfolk Street
San Mateo, CA 94403","['1 Beds / 1 Bath\n570 sq. ft.', '1 Beds / 1 Bath\n609 sq. ft.', '1 Beds / 1 Bath\n835 sq. ft.', '1 Beds / 1 Bath\n653 sq. ft.', '1 Beds / 1 Bath\n672 sq. ft.', '2 Beds / 2 Bath\n858 sq. ft.', '2 Beds / 2 Bath\n899 sq. ft.']","['Starting from $2,574', 'Starting from $2,614', 'Starting from $2,944', '', '', '', '']","66%
Walk Score"
Summerhill Park,"['$2,824-$3,429']","Summerhill Park Apartments
972 Corte Madera Ave
Sunnyvale, CA 94085","['1 Beds / 1 Bath\n710 sq. ft.', '2 Beds / 1 Bath\n900 - 910 sq. ft.', '2 Beds / 2 Bath\n950 sq. ft.']","['Starting from $2,839', 'Starting from $3,299', 'Starting from $3,404']","47%
Walk Score"
Patina at Midtown,"['$2,249-$3,224']","Patina at Midtown Apartments
355 Sunol St
San Jose, CA 95126","['Studio / 1 Bath\n423 - 528 sq. ft.', '1 Beds / 1 Bath\n720 sq. ft.', '1 Beds / 1 Bath\n715 - 772 sq. ft.', '1 Beds / 1 Bath\n1,031 sq. ft.', '2 Beds / 2 Bath\n1,040 - 1,101 sq. ft.', '1 Beds / 1 Bath\n658 sq. ft.', '1 Beds / 1 Bath\n714 sq. ft.', '1 Beds / 1 Bath\n714 sq. ft.', '1 Beds / 2 Bath\n1,286 sq. ft.', '2 Beds / 2 Bath\n1,141 sq. ft.', '2 Beds / 2 Bath\n1,030 sq. ft.']","['Starting from $2,249', 'Starting from $2,514', 'Starting from $2,554', 'Starting from $2,942', 'Starting from $3,149', '', '', '', '', '', '']","85%
Walk Score"
360 Residences,"['$2,699-$8,347']","360 Residences Apartments
360 S Market Street
San Jose, CA 95113","['1 Beds / 1 Bath\n815 - 984 sq. ft.', '1 Beds / 1 Bath\n910 sq. ft.', '1 Beds / 1.5 Bath\n1,025 sq. ft.', '1 Beds / 1.5 Bath\n983 sq. ft.', '1 Beds / 2 Bath\n1,376 sq. ft.', '2 Beds / 2 Bath\n1,292 - 1,302 sq. ft.', '2 Beds / 2 Bath\n1,394 sq. ft.', '2 Beds / 2 Bath\n1,592 sq. ft.', '2 Beds / 2 Bath\n1,682 sq. ft.', '2 Beds / 2.5 Bath\n2,690 sq. ft.', '3 Beds / 3.5 Bath\n2,837 sq. ft.', '1 Beds / 1 Bath\n817 sq. ft.', '1 Beds / 1 Bath\n940 sq. ft.', '1 Beds / 1 Bath\n1,025 sq. ft.', '1 Beds / 1 Bath\n1,048 sq. ft.', '1 Beds / 1.5 Bath\n1,001 sq. ft.', '1 Beds / 1.5 Bath\n970 sq. ft.', '2 Beds / 2 Bath\n1,240 sq. ft.', '2 Beds / 2 Bath\n1,303 sq. ft.', '2 Beds / 2 Bath\n1,368 sq. ft.', '2 Beds / 2 Bath\n1,402 sq. ft.', '2 Beds / 2 Bath\n1,409 sq. ft.', '2 Beds / 2 Bath\n1,422 sq. ft.', '2 Beds / 2 Bath\n1,453 sq. ft.', '2 Beds / 2 Bath\n1,491 sq. ft.', '2 Beds / 2 Bath\n1,544 sq. ft.', '2 Beds / 2.5 Bath\n1,641 sq. ft.', '2 Beds / 2.5 Bath\n1,707 sq. ft.', '2 Beds / 2.5 Bath\n1,825 sq. ft.', '2 Beds / 2.5 Bath\n1,930 sq. ft.', '3 Beds / 2.5 Bath\n3,294 sq. ft.', '3 Beds / 2.5 Bath\n1,778 sq. ft.', '3 Beds / 2.5 Bath\n2,898 sq. ft.', '3 Beds / 2.5 Bath\n2,902 sq. ft.', '3 Beds / 3.5 Bath\n3,440 sq. ft.']","['Starting from $2,699', 'Starting from $2,744', 'Starting from $2,821', 'Starting from $3,004', 'Starting from $3,401', 'Starting from $3,554', 'Starting from $3,559', 'Starting from $4,135', 'Starting from $4,469', 'Starting from $7,742', 'Starting from $8,347', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","96%
Walk Score"
Township,"['$2,979-$3,119']","Township Apartments
333 Main St
Redwood City, CA 94063","['1 Beds / 1 Bath\n630 sq. ft.', '1 Beds / 1 Bath\n765 - 769 sq. ft.', '2 Beds / 2 Bath\n1,047 sq. ft.', '2 Beds / 2 Bath\n1,080 sq. ft.', '2 Beds / 2 Bath\n1,083 sq. ft.', '2 Beds / 2 Bath\n1,084 sq. ft.', '2 Beds / 2 Bath\n1,084 sq. ft.']","['Starting from $2,979', 'Starting from $3,054', '', '', '', '', '']","89%
Walk Score"
Radius,"['$3,109-$4,954']","Radius Apartments
620 Veterans Blvd.
Redwood City, CA 94063","['1 Beds / 1 Bath\n754 - 896 sq. ft.', '1 Beds / 1 Bath\n743 - 769 sq. ft.', '1 Beds / 1 Bath\n968 sq. ft.', '2 Beds / 2 Bath\n1,063 sq. ft.', '3 Beds / 2 Bath\n1,311 sq. ft.', '2 Beds / 1 Bath\n1,088 sq. ft.', '2 Beds / 2 Bath\n1,135 sq. ft.', '2 Beds / 2 Bath\n1,153 sq. ft.', '2 Beds / 2 Bath\n1,208 sq. ft.', '3 Beds / 2 Bath\n1,266 sq. ft.']","['Starting from $3,109', 'Starting from $3,114', 'Starting from $3,749', 'Starting from $3,949', 'Starting from $4,899', '', '', '', '', '']","87%
Walk Score"
